campaign_id,campaign_name,channel,campaign_type,start_date,budget,end_date
94,Campaign 094,Organic,Acquisition,2026-03-31,895353.76,2026-06-22
95,Campaign 095,Meta,Brand,2023-04-28,2080820.62,2023-06-24
96,Campaign 096,Email,Retention,2025-03-29,4089486.75,2025-06-06
97,Campaign 097,Meta,Acquisition,2024-03-08,3854765.61,2024-06-05
98,Campaign 098,Organic,Retention,2022-11-22,2434398.09,2022-12-26
99,Campaign 099,Google Ads,Seasonal,2025-07-28,4420098.75,2025-10-12
100,Campaign 100,Influencer,Clearance,2022-05-23,4775982.22,2022-06-25
101,Campaign 101,Google Ads,Seasonal,2025-02-07,2904678.64,2025-03-28
102,Campaign 102,Push,Brand,2023-10-08,1144011.36,2023-12-27
103,Campaign 103,Affiliate,Seasonal,2022-08-20,4146080.89,2022-10-31
104,Campaign 104,Influencer,Retention,2023-12-08,2235692.08,2024-01-31
105,Campaign 105,Email,Acquisition,2023-03-25,3222294.64,2023-06-11
106,Campaign 106,Google Ads,Seasonal,2024-09-04,3868455.37,2024-11-02
107,Campaign 107,Email,Retention,2024-02-28,2920556.97,2024-04-08
108,Campaign 108,Push,Acquisition,2022-05-04,1831656.87,2022-07-28
109,Campaign 109,Meta,Acquisition,2024-09-15,4192590.01,2024-12-08
110,Campaign 110,Meta,Retention,2022-11-07,996017.31,2022-11-19
111,Campaign 111,Organic,Clearance,2026-04-02,2198283.26,2026-05-24
112,Campaign 112,Influencer,Seasonal,2022-07-06,439738.06,2022-09-16
113,Campaign 113,Affiliate,Seasonal,2022-07-21,390326.0,2022-08-29
114,Campaign 114,Meta,Brand,2024-08-14,4891495.13,2024-09-02
115,Campaign 115,Organic,Seasonal,2024-09-29,2371625.95,2024-10-20
116,Campaign 116,Meta,Clearance,2023-03-04,1924903.87,2023-06-01
117,Campaign 117,Push,Retention,2026-06-10,3045250.09,2026-06-26
118,Campaign 118,Push,Clearance,2022-06-10,4157932.76,2022-07-29
119,Campaign 119,Email,Retention,2023-05-07,2216097.41,2023-06-27
120,Campaign 120,Influencer,Brand,2025-12-10,1072311.56,2026-02-08
