category_id,department,subcategory,category_path
211,Automotive,Care 01,Automotive > Care
212,Automotive,Care 02,Automotive > Care
213,Automotive,Care 03,Automotive > Care
214,Automotive,Care 04,Automotive > Care
215,Automotive,Care 05,Automotive > Care
216,Automotive,Electronics 01,Automotive > Electronics
217,Automotive,Electronics 02,Automotive > Electronics
218,Automotive,Electronics 03,Automotive > Electronics
219,Automotive,Electronics 04,Automotive > Electronics
220,Automotive,Electronics 05,Automotive > Electronics
221,Automotive,Parts 01,Automotive > Parts
222,Automotive,Parts 02,Automotive > Parts
223,Automotive,Parts 03,Automotive > Parts
224,Automotive,Parts 04,Automotive > Parts
225,Automotive,Parts 05,Automotive > Parts
226,Pet,Food 01,Pet > Food
227,Pet,Food 02,Pet > Food
228,Pet,Food 03,Pet > Food
229,Pet,Food 04,Pet > Food
230,Pet,Food 05,Pet > Food
231,Pet,Toys 01,Pet > Toys
232,Pet,Toys 02,Pet > Toys
233,Pet,Toys 03,Pet > Toys
234,Pet,Toys 04,Pet > Toys
235,Pet,Toys 05,Pet > Toys
236,Pet,Grooming 01,Pet > Grooming
237,Pet,Grooming 02,Pet > Grooming
238,Pet,Grooming 03,Pet > Grooming
239,Pet,Grooming 04,Pet > Grooming
240,Pet,Grooming 05,Pet > Grooming
241,Pet,Beds 01,Pet > Beds
242,Pet,Beds 02,Pet > Beds
243,Pet,Beds 03,Pet > Beds
244,Pet,Beds 04,Pet > Beds
245,Pet,Beds 05,Pet > Beds
246,Pet,Health 01,Pet > Health
247,Pet,Health 02,Pet > Health
248,Pet,Health 03,Pet > Health
249,Pet,Health 04,Pet > Health
250,Pet,Health 05,Pet > Health
