return_id,order_id,return_date,return_reason,return_status,refund_method,refund_amount
65,273055,2024-07-19,Not as Expected,Processing,Wallet,4851.59
66,354921,2024-09-11,Late Delivery,Approved,Original Payment,14632.53
67,330107,2025-09-10,Quality Issue,Rejected,Bank Transfer,3423.17
68,196209,2023-01-03,Size Issue,Approved,Original Payment,11148.64
69,32773,2025-02-27,Damaged,Processing,Original Payment,4484.23
70,237292,2022-12-01,Changed Mind,Rejected,Wallet,508.4
71,421598,2023-09-19,Wrong Item,Approved,Original Payment,7290.09
72,197228,2023-11-20,Size Issue,Processing,Original Payment,10462.98
73,345310,2025-01-01,Damaged,Approved,Wallet,10316.27
74,255103,2024-02-29,Size Issue,Approved,Original Payment,829.26
75,303636,2023-04-22,Damaged,Approved,Original Payment,596.8
76,3381,2023-09-06,Wrong Item,Rejected,Wallet,10638.25
77,420352,2025-12-29,Wrong Item,Rejected,Wallet,3472.77
78,305597,2026-05-24,Changed Mind,Approved,Bank Transfer,4577.53
79,191691,2025-10-14,Quality Issue,Rejected,Wallet,769.12
80,23672,2025-12-23,Wrong Item,Processing,Original Payment,1535.77
81,72475,2023-03-18,Changed Mind,Approved,Original Payment,10404.0
82,437209,2024-09-30,Not as Expected,Approved,Original Payment,7345.54
83,413100,2023-06-16,Late Delivery,Approved,Wallet,2023.46
84,202216,2025-09-08,Late Delivery,Approved,Wallet,8886.35
85,462395,2026-04-21,Changed Mind,Approved,Bank Transfer,1786.65
86,262999,2024-01-03,Quality Issue,Processing,Bank Transfer,1067.26
87,143829,2025-07-24,Not as Expected,Approved,Bank Transfer,1244.6
88,52387,2025-05-05,Changed Mind,Approved,Bank Transfer,8491.06
89,126078,2024-03-01,Damaged,Approved,Original Payment,4329.32
90,495067,2024-02-12,Size Issue,Approved,Bank Transfer,12469.92
91,472969,2022-08-22,Changed Mind,Approved,Wallet,2741.87
92,351327,2024-01-30,Late Delivery,Approved,Wallet,13868.68
93,99409,2025-01-01,Size Issue,Approved,Original Payment,6675.15
94,170706,2022-01-21,Quality Issue,Approved,Original Payment,2942.71
95,491169,2024-02-28,Quality Issue,Approved,Bank Transfer,12503.87
96,36922,2025-10-08,Late Delivery,Approved,Wallet,5285.92
97,10239,2026-02-04,Quality Issue,Processing,Original Payment,13553.19
98,157498,2022-10-22,Late Delivery,Approved,Bank Transfer,6955.26
99,481199,2024-01-16,Changed Mind,Approved,Bank Transfer,1177.5
100,273408,2022-10-11,Not as Expected,Approved,Original Payment,13733.06
101,235955,2026-06-05,Quality Issue,Approved,Bank Transfer,13648.9
102,421156,2022-07-02,Quality Issue,Approved,Bank Transfer,3847.47
103,412551,2025-05-04,Size Issue,Approved,Wallet,9608.31
104,366001,2026-05-13,Damaged,Rejected,Original Payment,14866.51
105,313016,2025-03-31,Changed Mind,Approved,Original Payment,2049.36
106,350095,2022-01-19,Changed Mind,Approved,Bank Transfer,10843.65
107,58586,2026-03-14,Changed Mind,Rejected,Bank Transfer,8731.57
108,232136,2022-04-22,Late Delivery,Approved,Bank Transfer,2591.47
109,143269,2024-07-01,Quality Issue,Approved,Original Payment,2352.43
110,409081,2026-05-09,Changed Mind,Approved,Bank Transfer,2519.71
111,117047,2023-09-17,Changed Mind,Approved,Wallet,9756.46
112,312081,2026-01-14,Late Delivery,Rejected,Wallet,12889.24
113,78503,2022-04-01,Late Delivery,Processing,Bank Transfer,7699.22
114,263555,2022-04-20,Changed Mind,Rejected,Original Payment,9789.84
115,203534,2025-12-18,Changed Mind,Approved,Wallet,4155.97
116,270750,2025-01-01,Size Issue,Approved,Wallet,4115.26
117,361564,2025-12-11,Late Delivery,Approved,Wallet,1150.64
118,421645,2024-11-10,Changed Mind,Approved,Bank Transfer,9925.39
119,456463,2026-05-10,Size Issue,Approved,Wallet,13217.09
120,491817,2025-04-25,Size Issue,Approved,Wallet,14176.81
121,409657,2023-08-14,Quality Issue,Approved,Wallet,7213.12
122,124355,2025-12-26,Wrong Item,Processing,Wallet,6153.64
123,284100,2025-12-09,Not as Expected,Approved,Wallet,9077.41
124,497520,2023-11-14,Size Issue,Approved,Bank Transfer,136.82
125,275745,2026-03-01,Changed Mind,Approved,Wallet,3941.69
126,124923,2025-06-22,Quality Issue,Approved,Wallet,13865.23
127,333569,2025-07-16,Wrong Item,Approved,Wallet,2659.32
128,427258,2025-11-30,Quality Issue,Rejected,Wallet,2968.15
129,370979,2022-03-25,Not as Expected,Processing,Original Payment,3863.45
130,79139,2022-10-18,Damaged,Processing,Bank Transfer,1006.82
131,248772,2024-03-20,Damaged,Approved,Bank Transfer,6636.62
132,191031,2025-05-14,Size Issue,Processing,Wallet,13396.16
133,350126,2026-04-17,Quality Issue,Rejected,Wallet,10689.86
134,65919,2024-01-12,Late Delivery,Rejected,Bank Transfer,7886.84
135,205911,2022-07-03,Changed Mind,Approved,Bank Transfer,2876.92
136,17699,2023-03-19,Damaged,Processing,Original Payment,9880.11
137,50769,2022-07-27,Wrong Item,Rejected,Wallet,9517.99
138,349804,2024-01-30,Wrong Item,Rejected,Original Payment,13879.76
139,217081,2024-10-22,Late Delivery,Approved,Original Payment,4879.0
140,443174,2024-04-01,Not as Expected,Approved,Bank Transfer,2223.83
141,375221,2022-02-19,Wrong Item,Approved,Wallet,8776.57
142,31644,2023-02-19,Changed Mind,Approved,Wallet,8524.88
143,243950,2026-06-15,Damaged,Approved,Wallet,4463.79
144,141591,2026-04-10,Damaged,Approved,Bank Transfer,12514.29
145,451564,2024-02-12,Quality Issue,Approved,Original Payment,8473.96
146,54075,2024-03-07,Quality Issue,Processing,Original Payment,6577.03
147,308256,2025-11-21,Not as Expected,Processing,Bank Transfer,14716.04
148,72047,2023-06-11,Changed Mind,Approved,Bank Transfer,3241.09
149,163831,2026-08-20,Size Issue,Approved,Wallet,7631.77
150,417676,2023-06-29,Not as Expected,Approved,Original Payment,1728.79
151,142281,2024-06-21,Damaged,Approved,Original Payment,12007.55
152,427578,2025-06-24,Damaged,Approved,Wallet,2134.75
153,227223,2025-05-22,Changed Mind,Approved,Original Payment,10908.21
154,58654,2022-05-18,Damaged,Approved,Original Payment,4310.36
155,357540,2023-09-14,Quality Issue,Approved,Original Payment,8154.77
156,68995,2023-12-22,Damaged,Approved,Original Payment,225.8
157,370119,2024-03-06,Changed Mind,Rejected,Wallet,8423.57
158,21362,2024-12-06,Late Delivery,Processing,Original Payment,1119.35
159,284040,2023-12-29,Quality Issue,Approved,Original Payment,10586.37
160,24888,2025-02-14,Late Delivery,Approved,Bank Transfer,3681.32
161,344320,2023-03-11,Not as Expected,Processing,Wallet,9532.06
162,40036,2025-12-07,Late Delivery,Approved,Wallet,570.89
163,152733,2023-12-22,Wrong Item,Approved,Wallet,9314.35
164,275066,2024-07-27,Changed Mind,Approved,Bank Transfer,7010.53
165,264969,2026-04-09,Damaged,Approved,Original Payment,12418.92
166,71579,2022-04-14,Late Delivery,Approved,Wallet,2822.7
167,362750,2024-12-28,Changed Mind,Approved,Bank Transfer,7647.65
168,222455,2022-09-17,Wrong Item,Approved,Original Payment,2563.22
169,42800,2023-12-29,Late Delivery,Rejected,Bank Transfer,3703.53
170,256669,2022-09-20,Wrong Item,Rejected,Bank Transfer,14388.29
171,26842,2022-06-27,Late Delivery,Approved,Original Payment,13342.06
172,3898,2025-05-19,Size Issue,Approved,Wallet,13737.66
173,287233,2023-11-04,Size Issue,Approved,Wallet,4826.16
174,109042,2022-03-08,Size Issue,Rejected,Original Payment,5971.06
175,495281,2022-04-21,Not as Expected,Approved,Wallet,3959.03
176,470945,2022-05-06,Wrong Item,Approved,Original Payment,2587.11
177,449320,2025-09-02,Not as Expected,Rejected,Bank Transfer,916.52
178,463705,2025-03-14,Quality Issue,Approved,Bank Transfer,5870.76
179,106401,2025-02-17,Not as Expected,Approved,Wallet,1355.44
180,77670,2024-04-07,Quality Issue,Approved,Wallet,10561.68
181,470206,2023-12-17,Size Issue,Rejected,Wallet,6712.98
182,427816,2025-03-16,Wrong Item,Rejected,Bank Transfer,2527.87
183,275993,2022-02-24,Damaged,Approved,Bank Transfer,1591.67
184,455079,2026-06-22,Not as Expected,Approved,Wallet,7942.74
185,426552,2022-09-05,Late Delivery,Approved,Wallet,10788.9
186,58630,2024-04-25,Damaged,Approved,Wallet,12415.43
187,47580,2025-10-04,Size Issue,Approved,Original Payment,10811.1
188,297143,2024-10-04,Not as Expected,Approved,Wallet,13526.09
189,116082,2026-02-03,Wrong Item,Rejected,Original Payment,5269.16
190,452946,2026-01-08,Quality Issue,Rejected,Original Payment,13368.1
191,427182,2026-06-09,Late Delivery,Approved,Original Payment,14450.74
192,318366,2022-11-10,Not as Expected,Approved,Wallet,8501.32
193,297137,2026-06-08,Not as Expected,Approved,Bank Transfer,14070.75
194,484622,2024-09-08,Not as Expected,Rejected,Bank Transfer,10493.76
195,248340,2025-10-20,Size Issue,Approved,Wallet,3353.09
196,268851,2022-10-08,Wrong Item,Processing,Original Payment,11049.41
197,426556,2024-06-07,Damaged,Approved,Bank Transfer,8183.9
198,150847,2023-12-05,Damaged,Approved,Original Payment,7710.39
199,113363,2022-11-06,Changed Mind,Approved,Wallet,13910.12
200,144632,2023-10-07,Size Issue,Approved,Original Payment,9493.82
201,271428,2024-05-27,Late Delivery,Approved,Bank Transfer,14174.86
202,93546,2024-02-15,Size Issue,Approved,Bank Transfer,5659.6
203,17079,2024-11-22,Damaged,Approved,Wallet,924.81
204,93152,2024-10-27,Size Issue,Approved,Original Payment,7863.39
205,4011,2022-09-14,Size Issue,Approved,Bank Transfer,2197.46
206,159093,2024-12-26,Changed Mind,Approved,Wallet,8889.28
207,272940,2023-03-03,Wrong Item,Processing,Bank Transfer,12034.37
208,101652,2026-08-17,Changed Mind,Approved,Wallet,10040.29
209,216396,2024-09-27,Damaged,Approved,Original Payment,14622.86
210,62724,2026-04-30,Not as Expected,Processing,Original Payment,6359.78
211,376369,2026-01-21,Quality Issue,Approved,Wallet,11206.34
212,472258,2025-04-02,Size Issue,Rejected,Wallet,7886.73
213,60919,2024-09-03,Damaged,Approved,Wallet,1537.47
214,20111,2026-02-02,Wrong Item,Approved,Wallet,10155.54
215,149145,2022-08-14,Quality Issue,Approved,Bank Transfer,13308.95
216,14832,2022-06-05,Not as Expected,Rejected,Original Payment,8894.23
217,164167,2022-02-24,Size Issue,Approved,Bank Transfer,12178.27
218,398640,2025-03-20,Quality Issue,Approved,Original Payment,5680.29
219,177841,2023-05-24,Size Issue,Processing,Wallet,2028.45
220,65203,2023-01-16,Damaged,Approved,Bank Transfer,13854.87
221,137375,2022-06-08,Changed Mind,Approved,Bank Transfer,7621.8
222,315210,2023-07-22,Not as Expected,Approved,Wallet,9756.8
223,380855,2023-11-26,Late Delivery,Approved,Wallet,1823.51
224,447645,2023-06-09,Changed Mind,Approved,Wallet,12390.21
225,436559,2026-02-24,Wrong Item,Approved,Bank Transfer,8561.99
226,132704,2025-06-15,Size Issue,Approved,Wallet,463.72
227,322189,2023-06-23,Wrong Item,Approved,Wallet,12310.88
228,481571,2025-04-03,Size Issue,Approved,Bank Transfer,1173.1
229,486172,2022-05-12,Size Issue,Rejected,Bank Transfer,5519.76
230,376397,2022-01-31,Quality Issue,Approved,Bank Transfer,9786.88
231,339194,2025-08-22,Wrong Item,Approved,Bank Transfer,3454.71
232,410758,2026-03-16,Damaged,Approved,Original Payment,9157.15
233,170037,2023-07-24,Wrong Item,Approved,Wallet,7993.1
234,84517,2023-08-27,Not as Expected,Rejected,Wallet,6156.68
235,333,2022-10-30,Damaged,Approved,Bank Transfer,11704.27
236,33387,2025-01-04,Changed Mind,Approved,Original Payment,12880.82
237,343038,2024-06-29,Damaged,Processing,Bank Transfer,8896.21
238,208987,2026-01-22,Changed Mind,Approved,Bank Transfer,6751.46
239,46297,2024-06-17,Not as Expected,Approved,Bank Transfer,1597.78
240,92247,2023-03-26,Changed Mind,Approved,Bank Transfer,1699.67
241,482172,2025-02-28,Not as Expected,Processing,Bank Transfer,8241.31
242,424387,2022-07-10,Not as Expected,Approved,Original Payment,9707.56
243,6286,2022-01-01,Late Delivery,Processing,Original Payment,7777.84
244,112794,2024-02-16,Quality Issue,Approved,Original Payment,8928.8
245,22248,2023-01-05,Wrong Item,Approved,Wallet,6359.37
246,387328,2022-10-02,Size Issue,Processing,Wallet,14386.91
247,30293,2024-03-13,Late Delivery,Approved,Wallet,541.19
248,200489,2026-05-08,Not as Expected,Approved,Bank Transfer,7687.56
249,354284,2024-03-06,Changed Mind,Approved,Original Payment,9296.5
250,179468,2026-03-20,Wrong Item,Approved,Bank Transfer,7219.16
251,17153,2026-07-27,Not as Expected,Approved,Wallet,13121.88
252,58209,2025-02-15,Damaged,Approved,Bank Transfer,12926.68
253,78333,2025-01-06,Not as Expected,Approved,Wallet,884.27
254,393228,2022-10-05,Size Issue,Approved,Bank Transfer,6367.51
255,99781,2026-08-11,Quality Issue,Approved,Wallet,6181.38
256,296252,2026-01-30,Not as Expected,Approved,Bank Transfer,10761.32
257,91978,2025-01-12,Size Issue,Approved,Original Payment,8326.58
258,195984,2026-07-05,Size Issue,Approved,Original Payment,2310.79
259,122424,2025-12-16,Wrong Item,Approved,Bank Transfer,13446.51
260,209356,2024-08-08,Wrong Item,Approved,Bank Transfer,7115.6
261,385082,2024-08-29,Quality Issue,Approved,Original Payment,10847.98
262,325737,2024-12-10,Size Issue,Approved,Wallet,2978.9
263,44483,2022-10-18,Damaged,Approved,Original Payment,9754.78
264,417510,2024-10-18,Not as Expected,Rejected,Bank Transfer,9640.5
265,447465,2025-09-01,Late Delivery,Approved,Wallet,1186.96
266,90680,2026-02-01,Quality Issue,Approved,Bank Transfer,12512.35
267,305236,2025-05-03,Damaged,Approved,Original Payment,3770.47
268,88341,2022-01-23,Not as Expected,Approved,Original Payment,7139.44
269,383851,2023-10-02,Late Delivery,Approved,Original Payment,3103.19
270,56235,2022-01-17,Changed Mind,Rejected,Original Payment,5991.09
271,339881,2026-04-14,Size Issue,Rejected,Bank Transfer,13907.91
272,386994,2026-06-23,Not as Expected,Rejected,Wallet,7951.59
273,26267,2026-08-09,Wrong Item,Approved,Original Payment,2515.07
274,439472,2025-10-03,Quality Issue,Approved,Original Payment,5579.52
275,341882,2025-01-22,Wrong Item,Approved,Bank Transfer,6540.4
276,270607,2022-08-26,Damaged,Rejected,Original Payment,762.5
277,463131,2023-01-27,Not as Expected,Approved,Bank Transfer,8131.01
278,351571,2022-03-25,Not as Expected,Approved,Original Payment,8770.32
279,84062,2024-02-06,Wrong Item,Rejected,Wallet,12803.3
280,369896,2026-06-28,Quality Issue,Processing,Bank Transfer,6523.05
281,271001,2025-02-28,Late Delivery,Approved,Wallet,11966.91
282,396415,2025-12-14,Late Delivery,Approved,Bank Transfer,7893.93
283,410662,2023-07-24,Changed Mind,Approved,Original Payment,4341.58
284,316297,2022-05-04,Late Delivery,Rejected,Bank Transfer,12325.68
285,84527,2025-06-14,Size Issue,Approved,Wallet,3012.74
286,153036,2026-04-23,Quality Issue,Approved,Wallet,4250.59
287,116403,2024-04-04,Not as Expected,Approved,Bank Transfer,625.19
288,2257,2024-03-22,Damaged,Approved,Original Payment,11527.37
289,492889,2024-11-24,Late Delivery,Approved,Original Payment,4458.37
290,218844,2022-05-08,Late Delivery,Approved,Original Payment,9504.53
291,3091,2025-09-28,Not as Expected,Rejected,Bank Transfer,11787.68
292,326593,2025-09-18,Size Issue,Rejected,Original Payment,2224.29
293,383527,2025-10-27,Late Delivery,Approved,Wallet,5442.62
294,40151,2025-08-08,Damaged,Approved,Bank Transfer,6344.73
295,311182,2022-10-25,Wrong Item,Approved,Bank Transfer,4955.82
296,182622,2024-07-26,Changed Mind,Approved,Wallet,14066.83
297,450195,2024-08-09,Not as Expected,Rejected,Wallet,7018.65
298,11115,2025-06-18,Quality Issue,Rejected,Bank Transfer,2105.38
299,288839,2026-06-16,Late Delivery,Approved,Wallet,1783.88
300,153263,2025-02-12,Damaged,Rejected,Original Payment,2909.37
301,85045,2022-08-19,Damaged,Approved,Wallet,6657.5
302,449506,2023-12-25,Wrong Item,Approved,Original Payment,11795.46
303,254912,2022-04-10,Size Issue,Approved,Wallet,1399.76
304,3259,2025-06-28,Quality Issue,Processing,Original Payment,9751.78
305,263674,2025-08-30,Damaged,Approved,Wallet,560.56
306,277785,2024-11-16,Changed Mind,Approved,Bank Transfer,2605.08
307,275806,2023-12-31,Late Delivery,Approved,Original Payment,2495.96
308,419293,2022-05-27,Not as Expected,Approved,Original Payment,6722.13
309,413815,2024-11-24,Wrong Item,Approved,Bank Transfer,9313.78
310,156842,2022-02-13,Late Delivery,Processing,Original Payment,168.25
311,227208,2022-05-04,Late Delivery,Approved,Original Payment,11508.17
312,219440,2024-03-08,Not as Expected,Rejected,Bank Transfer,7583.29
313,198790,2023-06-22,Not as Expected,Approved,Wallet,12361.71
314,368082,2026-06-02,Not as Expected,Rejected,Bank Transfer,10180.27
315,103207,2024-04-07,Quality Issue,Approved,Wallet,3108.79
316,142676,2023-03-02,Size Issue,Rejected,Original Payment,13089.52
317,387141,2023-10-25,Wrong Item,Approved,Bank Transfer,12851.01
318,232769,2023-12-15,Size Issue,Rejected,Wallet,9183.05
319,355751,2024-05-27,Late Delivery,Approved,Wallet,11968.62
320,74913,2023-08-02,Quality Issue,Approved,Bank Transfer,3531.26
321,5476,2023-07-25,Damaged,Rejected,Bank Transfer,8816.49
322,290332,2024-01-07,Damaged,Approved,Original Payment,2652.75
323,162186,2022-08-03,Changed Mind,Approved,Bank Transfer,12307.82
324,423628,2024-05-05,Not as Expected,Rejected,Bank Transfer,2696.86
325,458675,2022-07-03,Late Delivery,Approved,Wallet,7841.38
326,463434,2026-07-08,Size Issue,Approved,Original Payment,8166.3
327,490097,2022-03-18,Quality Issue,Rejected,Bank Transfer,10116.89
328,358590,2024-08-19,Changed Mind,Processing,Bank Transfer,494.21
329,308812,2026-01-06,Quality Issue,Processing,Wallet,3749.13
330,356557,2022-08-30,Quality Issue,Approved,Bank Transfer,10846.84
331,8559,2025-12-11,Changed Mind,Approved,Wallet,13293.89
332,332635,2023-09-09,Late Delivery,Approved,Bank Transfer,8215.2
333,420758,2022-03-12,Size Issue,Processing,Bank Transfer,8350.27
334,91431,2022-08-10,Late Delivery,Approved,Wallet,10720.19
335,377959,2023-01-07,Wrong Item,Approved,Original Payment,12420.35
336,168429,2024-08-30,Quality Issue,Rejected,Wallet,12501.11
337,32486,2026-02-03,Quality Issue,Approved,Original Payment,14295.4
338,140410,2025-04-04,Wrong Item,Approved,Wallet,11729.31
339,498837,2023-06-14,Changed Mind,Approved,Bank Transfer,14353.37
340,67958,2026-04-03,Damaged,Approved,Bank Transfer,4730.34
341,172093,2024-12-15,Damaged,Processing,Wallet,4594.53
342,265003,2025-09-07,Size Issue,Approved,Wallet,337.91
343,411425,2025-12-31,Quality Issue,Approved,Original Payment,14820.96
344,242276,2024-10-21,Not as Expected,Approved,Bank Transfer,10029.8
345,440861,2025-06-17,Late Delivery,Approved,Bank Transfer,13412.63
346,254454,2025-06-23,Quality Issue,Approved,Original Payment,405.79
347,10078,2023-12-14,Changed Mind,Processing,Original Payment,10873.96
348,488930,2024-11-22,Size Issue,Approved,Wallet,3893.56
349,341403,2026-04-02,Quality Issue,Approved,Bank Transfer,5384.32
350,238097,2025-12-06,Not as Expected,Rejected,Bank Transfer,14997.52
351,409995,2026-08-17,Late Delivery,Approved,Wallet,5942.56
352,322172,2022-03-01,Quality Issue,Approved,Wallet,11542.67
353,94574,2024-06-06,Wrong Item,Rejected,Wallet,5769.92
354,66760,2026-05-11,Size Issue,Approved,Original Payment,795.86
355,121251,2022-07-24,Changed Mind,Rejected,Original Payment,10156.43
356,13573,2025-04-01,Size Issue,Approved,Bank Transfer,610.63
357,181578,2025-02-18,Size Issue,Rejected,Original Payment,5933.8
358,168686,2022-09-19,Size Issue,Approved,Bank Transfer,5711.59
359,453561,2024-08-18,Changed Mind,Approved,Wallet,702.64
360,123477,2024-08-13,Size Issue,Rejected,Original Payment,5807.24
361,129589,2022-11-29,Quality Issue,Approved,Wallet,10834.34
362,267382,2022-10-30,Not as Expected,Approved,Wallet,14974.7
363,6304,2024-11-11,Quality Issue,Approved,Wallet,13093.06
364,365022,2022-08-05,Not as Expected,Approved,Bank Transfer,1288.73
365,193086,2023-08-06,Size Issue,Approved,Original Payment,7428.87
366,151267,2023-11-12,Late Delivery,Approved,Wallet,14620.39
367,72281,2025-06-29,Late Delivery,Approved,Original Payment,14719.71
368,473504,2024-07-20,Size Issue,Approved,Original Payment,9339.23
369,251511,2024-12-16,Not as Expected,Approved,Original Payment,8840.42
370,158752,2024-01-29,Not as Expected,Processing,Wallet,293.9
371,325870,2026-02-10,Size Issue,Approved,Wallet,8957.05
372,437816,2024-10-06,Not as Expected,Approved,Original Payment,4009.75
373,292331,2025-02-05,Not as Expected,Approved,Wallet,11365.44
374,253274,2022-10-09,Damaged,Rejected,Bank Transfer,14442.47
375,264626,2026-03-28,Damaged,Approved,Original Payment,8736.71
376,244098,2026-07-18,Damaged,Approved,Bank Transfer,7553.65
377,211279,2022-02-20,Size Issue,Approved,Original Payment,11717.38
378,124686,2025-03-12,Late Delivery,Rejected,Bank Transfer,1605.18
379,161933,2022-01-06,Damaged,Rejected,Wallet,3333.49
380,181836,2026-03-27,Changed Mind,Approved,Wallet,1676.82
381,93153,2023-06-21,Late Delivery,Rejected,Bank Transfer,7069.72
382,380060,2022-08-07,Wrong Item,Approved,Original Payment,8997.77
383,73974,2024-06-02,Size Issue,Processing,Wallet,1222.73
384,285538,2025-11-12,Size Issue,Approved,Original Payment,4493.07
385,154986,2025-08-27,Damaged,Approved,Bank Transfer,8359.43
386,73553,2025-04-22,Damaged,Processing,Wallet,14698.83
387,26571,2023-04-22,Wrong Item,Approved,Original Payment,11825.54
388,386749,2023-05-04,Damaged,Processing,Original Payment,6867.28
389,467709,2022-04-14,Late Delivery,Approved,Wallet,9038.29
390,481701,2025-02-28,Wrong Item,Rejected,Bank Transfer,8536.43
391,476066,2023-11-01,Changed Mind,Approved,Bank Transfer,10314.74
392,130692,2023-04-03,Changed Mind,Processing,Original Payment,13987.17
393,98305,2026-04-19,Size Issue,Approved,Original Payment,4411.1
394,482267,2022-07-25,Quality Issue,Approved,Bank Transfer,7608.01
395,90838,2023-06-15,Not as Expected,Approved,Bank Transfer,11846.88
396,213373,2026-08-15,Damaged,Approved,Original Payment,13152.37
397,207983,2022-12-26,Quality Issue,Approved,Bank Transfer,8265.36
398,124927,2022-06-07,Quality Issue,Approved,Wallet,1222.1
399,231555,2023-11-15,Size Issue,Approved,Original Payment,11588.36
400,373787,2026-05-16,Late Delivery,Processing,Wallet,10319.67
401,32090,2024-04-24,Not as Expected,Approved,Original Payment,8953.59
402,330531,2024-08-16,Size Issue,Approved,Bank Transfer,14626.58
403,103336,2025-12-09,Changed Mind,Approved,Wallet,7126.58
404,156655,2022-06-03,Late Delivery,Rejected,Original Payment,9051.67
405,66369,2023-11-10,Late Delivery,Approved,Wallet,9800.1
406,78174,2024-12-28,Late Delivery,Rejected,Bank Transfer,13064.46
407,7661,2025-03-30,Late Delivery,Approved,Wallet,8612.18
408,131664,2024-05-09,Changed Mind,Approved,Bank Transfer,14080.56
409,370043,2023-05-23,Size Issue,Approved,Original Payment,1705.66
410,374846,2023-06-11,Size Issue,Approved,Bank Transfer,11567.46
