product_id,sku,product_name,category_id,brand,unit_cost,list_price,supplier_id,weight_kg,launch_date,active_flag
126,SKU-0000126,FreshDay Product 00126,41,BookNest,61.77,85.68,2710,0.98,2022-12-22,Y
127,SKU-0000127,FreshDay Product 00127,157,Zenith,67.63,170.3,1341,1.15,2023-07-16,Y
128,SKU-0000128,Nova Product 00128,15,HomePro,214.73,439.57,1896,2.36,2024-03-11,Y
129,SKU-0000129,PrimeOne Product 00129,45,FreshDay,155.93,213.9,2471,1.6,2022-02-24,Y
130,SKU-0000130,FitMax Product 00130,65,BookNest,150.77,278.15,1395,2.17,2022-05-01,Y
131,SKU-0000131,Nova Product 00131,89,StyleHub,104.15,230.72,2943,0.4,2025-09-27,Y
132,SKU-0000132,FreshDay Product 00132,71,Zenith,192.55,446.05,1541,0.72,2024-06-23,Y
133,SKU-0000133,Zenith Product 00133,9,Apex,348.42,771.75,1525,0.42,2024-11-25,Y
134,SKU-0000134,Orion Product 00134,88,Vistara,146.15,201.82,2525,0.32,2022-07-17,Y
135,SKU-0000135,Vistara Product 00135,129,UrbanCart,90.34,225.08,2430,1.86,2023-10-04,Y
136,SKU-0000136,Apex Product 00136,236,Orion,400.57,749.34,2153,0.19,2026-02-23,Y
137,SKU-0000137,PrimeOne Product 00137,136,PrimeOne,134.4,290.06,2154,0.57,2025-04-09,Y
138,SKU-0000138,BookNest Product 00138,216,Nova,269.55,420.35,2541,0.58,2025-03-23,Y
139,SKU-0000139,Nexora Product 00139,63,StyleHub,149.92,310.69,2746,0.76,2023-08-04,Y
140,SKU-0000140,BookNest Product 00140,139,StyleHub,435.52,833.88,2172,0.36,2025-07-26,N
141,SKU-0000141,StyleHub Product 00141,243,Zenith,497.66,715.9,2299,0.5,2026-05-15,Y
142,SKU-0000142,Zenith Product 00142,81,Zenith,482.25,1182.92,2684,4.02,2023-07-27,Y
143,SKU-0000143,PrimeOne Product 00143,136,Orion,99.81,206.99,2575,0.73,2025-09-06,Y
144,SKU-0000144,HomePro Product 00144,163,BookNest,98.9,161.66,2219,0.45,2025-10-10,Y
145,SKU-0000145,Vertex Product 00145,163,HomePro,360.09,731.54,1408,1.09,2025-11-07,Y
146,SKU-0000146,Orion Product 00146,33,Vertex,154.76,372.86,1882,0.96,2022-02-10,N
147,SKU-0000147,BookNest Product 00147,123,BookNest,159.05,310.82,2659,4.22,2022-12-19,Y
148,SKU-0000148,BookNest Product 00148,5,UrbanCart,87.76,154.18,1070,0.73,2024-03-04,Y
149,SKU-0000149,HomePro Product 00149,234,FitMax,583.17,1217.54,2222,1.34,2024-09-11,Y
150,SKU-0000150,Vertex Product 00150,231,Zenith,418.4,687.46,1544,0.35,2025-01-09,Y
151,SKU-0000151,UrbanCart Product 00151,250,Nexora,147.37,287.24,1818,0.51,2025-11-24,Y
152,SKU-0000152,Vistara Product 00152,41,Apex,91.76,162.42,1601,0.55,2025-02-24,N
153,SKU-0000153,UrbanCart Product 00153,28,FreshDay,88.17,130.13,2488,0.28,2022-10-27,Y
154,SKU-0000154,PrimeOne Product 00154,135,FitMax,184.92,259.29,2991,0.94,2022-06-07,Y
155,SKU-0000155,StyleHub Product 00155,201,Astra,232.31,430.57,2113,1.11,2022-05-10,Y
156,SKU-0000156,Astra Product 00156,72,Apex,75.48,111.09,1884,1.0,2024-04-15,Y
157,SKU-0000157,Astra Product 00157,12,UrbanCart,53.5,108.33,1846,0.25,2025-05-13,Y
158,SKU-0000158,Vistara Product 00158,162,StyleHub,176.21,436.09,2811,0.42,2023-07-04,Y
159,SKU-0000159,StyleHub Product 00159,33,BookNest,357.16,647.53,1786,0.66,2026-01-28,Y
160,SKU-0000160,Nexora Product 00160,48,BookNest,175.29,424.06,2734,0.36,2025-03-20,Y
161,SKU-0000161,Orion Product 00161,247,FreshDay,131.05,328.31,1951,0.18,2022-01-29,Y
162,SKU-0000162,BookNest Product 00162,151,Nexora,59.32,119.74,2591,1.95,2023-05-11,Y
163,SKU-0000163,Nexora Product 00163,62,StyleHub,92.7,185.14,2772,3.03,2024-12-16,Y
164,SKU-0000164,Orion Product 00164,216,StyleHub,361.61,784.46,1000,2.26,2022-07-20,Y
165,SKU-0000165,Zenith Product 00165,37,Apex,53.1,71.83,2190,1.14,2025-05-29,Y
166,SKU-0000166,PrimeOne Product 00166,99,Astra,808.72,1645.02,1548,0.56,2022-12-20,N
167,SKU-0000167,UrbanCart Product 00167,172,Nova,177.07,347.06,2809,5.13,2024-04-28,Y
168,SKU-0000168,Astra Product 00168,104,Vistara,39.34,58.2,1967,2.13,2026-06-02,Y
169,SKU-0000169,Vertex Product 00169,214,Nova,257.99,560.16,1590,0.47,2026-06-14,Y
170,SKU-0000170,Apex Product 00170,219,Vistara,245.97,568.84,2265,3.03,2024-01-08,Y
171,SKU-0000171,FreshDay Product 00171,35,Vertex,110.62,163.38,1133,1.03,2024-07-02,Y
172,SKU-0000172,Nova Product 00172,193,Vertex,381.98,455.76,2275,2.6,2026-02-17,Y
173,SKU-0000173,FitMax Product 00173,227,HomePro,93.89,178.95,1868,3.24,2024-02-14,Y
174,SKU-0000174,Apex Product 00174,101,Vertex,289.68,406.05,2045,0.53,2022-03-28,Y
175,SKU-0000175,UrbanCart Product 00175,175,Apex,158.97,189.98,2802,0.81,2025-01-29,Y
176,SKU-0000176,HomePro Product 00176,206,Vertex,127.07,223.07,1729,1.1,2023-01-15,Y
177,SKU-0000177,UrbanCart Product 00177,131,StyleHub,549.33,1077.87,2095,0.97,2022-04-26,Y
178,SKU-0000178,FreshDay Product 00178,1,Vistara,397.5,890.85,1520,0.4,2025-12-02,Y
179,SKU-0000179,HomePro Product 00179,5,BookNest,60.54,101.62,1908,0.99,2025-05-20,Y
180,SKU-0000180,Orion Product 00180,218,Nova,230.97,336.97,2922,0.72,2023-02-25,Y
181,SKU-0000181,Nexora Product 00181,247,Orion,901.54,1465.47,2986,0.73,2022-08-04,Y
182,SKU-0000182,Apex Product 00182,142,FreshDay,562.28,1054.86,2670,0.26,2023-05-24,Y
183,SKU-0000183,Orion Product 00183,103,Zenith,72.35,153.64,2730,0.75,2024-05-13,Y
184,SKU-0000184,Orion Product 00184,27,Vistara,689.79,1429.51,2994,5.02,2024-07-17,Y
185,SKU-0000185,Nexora Product 00185,137,Nova,378.81,726.19,2837,1.3,2025-11-10,N
186,SKU-0000186,Vertex Product 00186,207,FitMax,63.83,97.05,2593,0.7,2024-02-03,Y
187,SKU-0000187,Astra Product 00187,15,FitMax,197.73,388.58,1795,1.39,2022-07-24,Y
188,SKU-0000188,Vistara Product 00188,90,Nova,252.12,541.71,1500,2.79,2023-11-01,Y
189,SKU-0000189,Astra Product 00189,42,Zenith,62.23,152.28,2822,0.51,2024-08-14,Y
190,SKU-0000190,FitMax Product 00190,124,Nexora,309.66,357.36,2331,3.49,2024-09-20,Y
191,SKU-0000191,Nova Product 00191,205,StyleHub,1460.86,2915.91,1250,0.38,2026-05-30,Y
192,SKU-0000192,HomePro Product 00192,179,Orion,560.43,1149.67,1904,0.66,2024-09-23,Y
193,SKU-0000193,StyleHub Product 00193,63,Nexora,189.77,276.86,2626,0.62,2023-01-31,Y
194,SKU-0000194,Apex Product 00194,96,Nexora,127.33,249.73,2227,2.4,2026-06-06,Y
195,SKU-0000195,HomePro Product 00195,231,Nova,220.42,491.15,1007,0.37,2024-09-06,Y
196,SKU-0000196,BookNest Product 00196,241,Astra,68.19,160.65,1107,2.12,2025-08-21,Y
197,SKU-0000197,Astra Product 00197,52,BookNest,106.72,224.65,2768,0.78,2022-11-29,Y
198,SKU-0000198,FreshDay Product 00198,96,PrimeOne,28.06,71.95,2877,1.01,2023-03-10,Y
199,SKU-0000199,Vistara Product 00199,132,Vistara,242.52,571.9,2809,2.34,2024-08-16,Y
200,SKU-0000200,FreshDay Product 00200,222,Apex,121.06,208.47,2655,1.33,2026-03-20,Y
201,SKU-0000201,HomePro Product 00201,229,FitMax,286.07,690.06,1816,2.51,2024-06-18,Y
202,SKU-0000202,Zenith Product 00202,151,StyleHub,182.69,266.32,1522,2.09,2024-05-22,Y
203,SKU-0000203,Apex Product 00203,231,Nexora,66.04,143.49,2396,7.36,2026-08-28,Y
204,SKU-0000204,Vistara Product 00204,237,FreshDay,196.46,273.68,1385,2.28,2025-05-12,Y
205,SKU-0000205,Orion Product 00205,143,Vertex,86.3,220.85,2948,1.0,2026-04-18,Y
206,SKU-0000206,UrbanCart Product 00206,171,FitMax,727.7,1513.09,1182,0.95,2022-11-04,Y
207,SKU-0000207,Vertex Product 00207,29,Apex,76.77,171.23,2332,3.63,2023-03-23,Y
208,SKU-0000208,Nova Product 00208,36,UrbanCart,107.44,219.71,1921,1.17,2023-08-14,Y
209,SKU-0000209,StyleHub Product 00209,13,BookNest,65.88,117.64,2202,1.38,2026-02-19,Y
210,SKU-0000210,BookNest Product 00210,160,StyleHub,60.93,100.89,2741,2.4,2025-09-17,Y
211,SKU-0000211,StyleHub Product 00211,71,BookNest,168.52,262.35,2014,0.71,2023-04-07,Y
212,SKU-0000212,Vistara Product 00212,187,Astra,53.47,122.8,2627,0.46,2025-03-19,Y
213,SKU-0000213,Astra Product 00213,243,Apex,138.5,205.66,2250,1.49,2023-04-05,Y
214,SKU-0000214,FreshDay Product 00214,86,FitMax,241.54,577.29,2541,0.64,2025-06-17,Y
215,SKU-0000215,UrbanCart Product 00215,28,Zenith,112.02,251.65,2891,3.18,2025-05-22,Y
216,SKU-0000216,Astra Product 00216,66,StyleHub,22.59,39.34,2035,0.13,2022-12-19,Y
217,SKU-0000217,BookNest Product 00217,170,PrimeOne,544.88,1133.56,2273,0.63,2024-08-11,Y
218,SKU-0000218,Apex Product 00218,45,Orion,208.5,484.42,2441,1.21,2024-08-31,Y
219,SKU-0000219,FitMax Product 00219,62,FitMax,210.76,247.49,2400,0.57,2024-08-30,Y
220,SKU-0000220,HomePro Product 00220,185,FitMax,133.11,205.35,1197,3.08,2026-08-16,N
221,SKU-0000221,Vistara Product 00221,245,Zenith,340.29,870.23,2662,1.19,2024-09-26,Y
222,SKU-0000222,FitMax Product 00222,134,Nexora,381.53,663.5,2471,0.59,2023-12-21,N
223,SKU-0000223,HomePro Product 00223,28,FitMax,417.45,901.88,1036,1.22,2024-09-16,Y
224,SKU-0000224,Astra Product 00224,28,Astra,208.9,295.47,1892,0.32,2022-09-14,Y
225,SKU-0000225,Nexora Product 00225,108,FitMax,47.54,80.17,1420,1.52,2023-06-24,Y
226,SKU-0000226,PrimeOne Product 00226,44,Astra,236.19,546.62,2031,2.9,2024-01-05,Y
227,SKU-0000227,UrbanCart Product 00227,84,Nexora,208.66,381.37,1164,0.89,2023-09-04,Y
228,SKU-0000228,Zenith Product 00228,30,PrimeOne,100.1,245.63,1119,1.0,2025-12-26,Y
229,SKU-0000229,FreshDay Product 00229,190,Nova,79.7,93.62,1743,0.41,2022-12-31,Y
230,SKU-0000230,UrbanCart Product 00230,75,Apex,267.4,520.0,2760,0.55,2025-02-11,Y
231,SKU-0000231,Astra Product 00231,128,Vertex,153.2,354.83,1371,2.33,2022-11-07,Y
232,SKU-0000232,FreshDay Product 00232,250,FitMax,115.46,200.85,1232,0.91,2023-09-10,Y
233,SKU-0000233,BookNest Product 00233,247,Nexora,738.9,1144.36,2453,5.98,2022-12-23,Y
234,SKU-0000234,Astra Product 00234,92,Vertex,300.18,453.83,1286,1.59,2026-07-01,Y
235,SKU-0000235,BookNest Product 00235,217,FitMax,242.52,408.44,1737,0.4,2022-05-10,Y
236,SKU-0000236,Nova Product 00236,231,BookNest,491.07,1092.8,2418,6.32,2024-07-17,Y
237,SKU-0000237,Nexora Product 00237,190,Apex,220.82,311.07,2443,0.32,2025-08-21,Y
238,SKU-0000238,Zenith Product 00238,225,PrimeOne,87.03,174.25,1451,0.73,2023-11-07,Y
239,SKU-0000239,Vertex Product 00239,129,Nova,115.51,136.53,1656,1.14,2023-11-01,Y
240,SKU-0000240,Nova Product 00240,121,Orion,316.95,410.73,2785,1.28,2022-09-01,N
241,SKU-0000241,Apex Product 00241,27,PrimeOne,287.83,419.86,2295,0.61,2023-04-27,Y
242,SKU-0000242,BookNest Product 00242,190,HomePro,245.1,472.47,2309,1.0,2025-03-15,Y
243,SKU-0000243,Zenith Product 00243,121,FitMax,58.91,133.36,2062,2.89,2024-07-20,Y
244,SKU-0000244,BookNest Product 00244,116,Vertex,341.05,457.83,2579,2.93,2026-07-22,Y
245,SKU-0000245,FitMax Product 00245,205,Astra,154.7,307.5,2520,4.28,2024-11-13,N
246,SKU-0000246,FreshDay Product 00246,233,StyleHub,281.45,617.19,1964,0.5,2023-09-22,Y
247,SKU-0000247,Vistara Product 00247,3,Astra,77.7,184.84,2511,1.26,2022-05-09,Y
248,SKU-0000248,PrimeOne Product 00248,103,UrbanCart,962.4,1441.65,1371,1.43,2022-06-23,N
249,SKU-0000249,Nova Product 00249,198,Vistara,204.95,276.69,1548,0.23,2023-06-20,N
250,SKU-0000250,PrimeOne Product 00250,200,Zenith,112.64,230.39,2002,0.78,2022-10-04,Y
251,SKU-0000251,BookNest Product 00251,155,Zenith,293.41,493.43,2433,1.55,2026-04-14,Y
252,SKU-0000252,Nexora Product 00252,137,Nexora,355.05,728.2,2279,0.88,2023-12-18,Y
253,SKU-0000253,Apex Product 00253,62,Vertex,290.23,437.23,1475,0.57,2026-05-19,Y
254,SKU-0000254,Apex Product 00254,165,Zenith,67.0,99.77,1210,1.34,2026-08-04,Y
255,SKU-0000255,StyleHub Product 00255,225,Zenith,458.7,1035.14,1404,2.61,2025-11-19,Y
256,SKU-0000256,Vertex Product 00256,51,PrimeOne,120.26,187.44,1603,1.16,2022-04-12,Y
257,SKU-0000257,FitMax Product 00257,234,Orion,161.66,409.36,2554,0.18,2026-07-13,Y
258,SKU-0000258,Apex Product 00258,172,FitMax,22.47,49.87,1611,2.57,2025-04-24,N
259,SKU-0000259,FreshDay Product 00259,152,FitMax,108.02,272.48,2418,0.35,2025-07-09,Y
260,SKU-0000260,Astra Product 00260,207,Vertex,107.41,223.58,2682,0.38,2024-08-04,Y
261,SKU-0000261,FreshDay Product 00261,59,UrbanCart,246.05,562.18,1580,1.2,2024-02-17,N
262,SKU-0000262,UrbanCart Product 00262,118,Orion,102.26,174.9,2153,1.21,2024-08-17,Y
263,SKU-0000263,UrbanCart Product 00263,160,UrbanCart,38.11,98.66,1024,0.58,2022-11-29,Y
264,SKU-0000264,HomePro Product 00264,96,Vertex,204.27,314.39,1626,1.76,2023-01-03,Y
265,SKU-0000265,Vertex Product 00265,216,Nova,130.92,166.7,2113,0.96,2026-07-08,N
266,SKU-0000266,Astra Product 00266,233,Nova,85.14,205.64,2821,0.28,2026-07-05,Y
